index,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text,sentiment
273,2/5/18 12:11,120989,9.60486E+17,FALSE,30625,Twitter for iPhone,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working. Dems want to greatly raise taxes for really bad and non-personal medical care. No thanks!,-0.4951
274,2/5/18 3:54,212429,9.60361E+17,FALSE,36253,Twitter for iPhone,Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,0.9215
275,2/4/18 16:58,141922,9.60196E+17,FALSE,22937,Twitter for iPhone,My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Thank you to our incredible First Responders for the work they’ve done!,-0.3802
276,2/4/18 0:53,130832,9.59953E+17,FALSE,35940,Twitter for iPhone,...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants the FBI to be a nonpartisan enforcer of the law....The FBI wasn’t straight with Congress as it hid most of these facts from investigators.” Wall Street Journal,-0.5994
277,2/4/18 0:40,130687,9.5995E+17,FALSE,37037,Twitter for iPhone,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used to influence the 2016 election and its aftermath....The FBI failed to inform the FISA court that the Clinton campaign had funded the dossier....the FBI became....,-0.765
278,2/4/18 0:26,136102,9.59946E+17,FALSE,30276,Twitter for iPhone,Great jobs numbers and finally after many years rising wages- and nobody even talks about them. Only Russia Russia Russia despite the fact that after a year of looking there is No Collusion!,0.4926
279,2/3/18 14:40,141909,9.59799E+17,FALSE,39282,Twitter for iPhone,This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because after one year of looking endlessly and finding NOTHING collusion is dead). This is an American disgrace!,-0.7579
280,2/3/18 14:40,156630,9.59799E+17,FALSE,34992,Twitter for iPhone,Rasmussen just announced that my approval rating jumped to 49% a far better number than I had in winning the Election and higher than certain “sacred cows.” Other Trump polls are way up also. So why does the media refuse to write this? Oh well someday!,0.8999
281,2/3/18 13:44,0,9.59785E+17,TRUE,12755,Twitter for iPhone,RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/CJts3udtNO,0
282,2/3/18 13:39,0,9.59783E+17,TRUE,12338,Twitter for iPhone,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/iszxYp036c,0
283,2/2/18 22:26,71009,9.59554E+17,FALSE,14643,Twitter for iPad,Today it was my honor to join the great men and women of @DHSgov @CustomsBorder @ICEgov and @USCIS at the U.S. Customs and Border Protection National Targeting Center in Sterling Virginia. Fact sheet: https://t.co/Q027Wgdzdo https://t.co/NecuA0y1Sk,0.8591
284,2/2/18 18:07,77697,9.59488E+17,FALSE,17672,Twitter for iPad,“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,0
285,2/2/18 18:05,108146,9.59488E+17,FALSE,27604,Twitter for iPad,With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS 2018 is off to great start! ✅Unemployment rate at 4.1%. ✅Average earnings up 2.9% in the last year. ✅200000 new American jobs. ✅#MAGA🇺🇸 https://t.co/upqSvBhRqJ,0.8252
286,2/2/18 11:49,161884,9.59393E+17,FALSE,52193,Twitter for iPhone,“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly by all accounts to spy on the Trump Team.” Tom Fitton JW,0.8143
287,2/2/18 11:33,139322,9.59389E+17,FALSE,40439,Twitter for iPhone,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank &amp; File are great people!,0.906
288,2/2/18 3:32,124250,9.59268E+17,FALSE,28843,Twitter for iPhone,The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast or they’ll disappoint you again. We have a great chance to make a deal or blame the Dems! March 5th is coming up fast.,0.3164
